,m [eV],radius [R_solar],Q [erg/s/cm^3]
203,0.1,0.10884019160690066,1.271336455735061e+22
204,0.1,0.11138398264826195,1.238861472675829e+22
205,0.1,0.11398722666160525,1.2061733707827212e+22
206,0.1,0.11665131316981961,1.1731915370362447e+22
207,0.1,0.11937766417144371,1.14121681659794e+22
208,0.1,0.12216773489967918,1.108013904059832e+22
209,0.1,0.1250230145991456,1.0746750459125915e+22
210,0.1,0.12794502732078733,1.041245893954094e+22
211,0.1,0.1309353327353611,1.0087481066096899e+22
212,0.1,0.13399552696593384,9.752635164839532e+21
213,0.1,0.1371272434398401,9.418259812713036e+21
214,0.1,0.14033215376054847,9.092538470656818e+21
215,0.1,0.14361196859990788,8.761519929672196e+21
216,0.1,0.1469684386112446,8.436221199776091e+21
217,0.1,0.15040335536380253,8.113152112415053e+21
218,0.1,0.15391855229902054,7.790949508959412e+21
